district_name,zipcode,longitude,latitude,Total_School_Per_Pupil_Expenditures,Total_Expenditures_Per_School,Local_Percentage,Federal_Percentage,State_Percentage,students_total,percent_suspended,percent_expelled,percent_committed_zero_tolerance,graduation rate ,dropout_rate,number of students total,percentage of ready graduates,participation_rate,average_english_score,average_math_score,average_reading_score,average_science_score,average_composite_score,percent_scoring_21_or_higher,percent_scoring_below_19
Anderson County,37716,-84.14656,36.099283,10440.46,10440.46,38.99,14.35,46.66,1169.5,4.7,0.0,0.45,95.65,2.55,276.0,42.85,100.0,19.05,18.69999999999995,19.9,19.6,19.450000000000003,37.5,48.349999999999994
Oak Ridge,37831,-84.195796,36.105971,13041.51,13041.51,54.76,8.48,36.76,1578.0,8.4,0.0,0.9,92.1,6.6,304.0,65.5,97.0,23.0,22.2,24.2,23.2,23.3,64.3,23.9
Bedford County,37160,-86.45974,35.47066,8263.84,8263.84,18.23,12.57,69.19,910.6666666666666,1.5333333333333332,0.0,0.5666666666666668,92.76666666666667,5.266666666666667,210.66666666666666,33.93333333333333,97.66666666666667,18.833333333333332,18.499999999999968,19.8,19.666666666666632,19.366666666666667,36.46666666666663,49.9
Benton County,38320,-88.10137,36.050286,10628.28,10628.28,29.21,10.59,60.2,426.0,0.0,0.1,0.0,47.15,2.5,80.0,26.45,98.5,17.15,18.15,18.69999999999995,19.44999999999995,18.549999999999947,26.95,54.05
Bledsoe County,37367,-85.17161,35.635097,10683.45,10683.45,15.66,17.22,67.12,547.0,2.9,0.0,0.2,93.3,3.3,120.0,32.5,96.0,17.7,18.0,18.5,18.5,18.3,29.6,57.4
Blount County,37803,-83.98412,35.693358,9636.79,9636.79,46.62,8.47,44.91,1665.0,4.45,0.15000000000000002,1.6,93.05,4.2,396.5,35.0,98.5,19.1,19.05,19.6,19.299999999999947,19.34999999999995,36.7,49.25
Alcoa,37701,-83.97956,35.784708,11538.45,11538.45,51.49,9.43,39.08,712.0,7.4,0.6,2.1,98.8,0.6,172.0,59.3,100.0,21.1,20.0,21.6,20.9,21.1,53.5,32.9
Maryville,37803,-83.98412,35.693358,10705.27,10705.27,54.25,5.19,40.56,1234.0,7.1,0.0,0.4,94.5,2.9,420.0,66.0,99.0,23.6,22.8,23.6,23.3,23.5,70.0999999999999,20.3
Bradley County,37311,-84.88723,35.146362,8613.96,8613.96,31.23,10.83,57.94,856.25,1.2999999999999998,0.0,0.4,92.075,7.074999999999999,206.5,43.075,99.75,18.375,18.225,19.549999999999976,18.825000000000003,18.875,40.424999999999976,53.25
Cleveland,37312,-84.86489,35.219532,9718.14,9718.14,35.31,10.85,53.85,1824.0,4.8,0.0,0.5,90.0,5.6,409.0,43.3,96.0,19.8999999999999,19.6,21.3,20.7,20.5,45.5,42.9
Campbell County,37757,-84.17277,36.326509,9238.73,9238.73,20.3,18.5,61.2,868.0,6.699999999999999,0.0,0.05,91.65,2.1,203.0,25.6,100.0,17.3,17.200000000000003,18.799999999999947,17.69999999999995,17.9,25.05,58.4
Cannon County,37190,-86.05538,35.813335,9201.13,9201.13,25.38,10.14,64.49,597.0,1.5,0.0,0.0,91.0,4.9,144.0,36.1,95.0,17.5,18.1,19.0,19.3,18.7,31.2,52.0
Elizabethton,37643,-82.18843,36.355251,10155.56,10155.56,34.47,10.0,55.53,872.0,3.0,0.0,0.2,88.9,1.5,198.0,46.5,99.0,20.7,19.8999999999999,21.8,20.0,20.8,50.3,35.4
Cheatham County,37015,-87.06949,36.299293,8384.34,8384.34,30.38,8.81,60.81,665.0,4.7,0.03333333333333333,0.6666666666666666,92.33333333333333,5.000000000000001,146.66666666666666,36.800000000000004,97.66666666666667,18.900000000000002,18.933333333333266,20.233333333333334,19.666666666666632,19.59999999999997,38.76666666666663,46.19999999999997
Chester County,38340,-88.66118,35.414454,8623.28,8623.28,16.33,10.52,73.15,859.0,4.1,0.1,0.2,95.9,2.3,219.0,48.4,95.0,20.1,19.7,20.3,20.1,20.2,38.2,39.7
Claiborne County,37879,-83.52357,36.465808,10144.96,10144.96,25.27,16.44,58.29,688.5,3.5,0.0,0.2,92.95,2.75,143.5,28.3,94.0,18.15,18.6,19.15,19.05,18.9,30.2,53.2
Clay County,38551,-85.48904,36.547412,9974.05,9974.05,18.55,14.11,67.34,331.0,0.0,0.0,0.0,97.8,1.1,89.0,60.7,89.0,19.0,18.5,18.5,19.3,18.8999999999999,32.5,51.9
Cocke County,37821,-83.20116,35.963276,9543.4,9543.4,23.61,16.95,59.44,809.5,0.9500000000000001,0.0,0.1,92.19999999999999,3.8,191.0,29.25,99.5,17.59999999999995,18.1,19.24999999999995,18.6,18.49999999999995,30.3,56.849999999999994
Coffee County,37355,-86.08414,35.500068,9740.91,9740.91,41.58,10.03,48.39,1290.0,0.2,0.0,0.2,92.5,6.6,424.0,34.9,98.0,18.8999999999999,18.8,20.0,19.5,19.3999999999999,37.2999999999999,48.3
Tullahoma,37388,-86.21484,35.357522,10570.4,10570.4,46.78,9.56,43.66,1112.0,5.2,0.1,0.6,90.8,6.0,251.0,39.4,98.0,19.8,20.1,20.5,20.3999999999999,20.3999999999999,43.3,43.3
Crockett County,38001,-89.14016,35.796157,8546.2,8546.2,13.87,11.61,74.52,914.0,0.0,0.0,0.0,96.4,2.3,220.0,36.4,100.0,18.1,18.2,19.7,18.5,18.8,32.7,54.5
Cumberland County,38555,-85.05926,35.929314,8986.36,8986.36,30.25,14.33,55.42,745.6666666666666,2.3333333333333335,0.0,0.5333333333333333,88.46666666666665,8.633333333333333,168.0,31.86666666666667,100.0,18.5333333333333,18.666666666666668,19.533333333333335,18.966666666666665,19.03333333333333,33.5,54.166666666666664
Davidson County,37204,-86.77626,36.112058,12317.65,12317.65,61.03,8.71,30.25,972.7857142857143,8.889285714285716,0.37142857142857144,0.8392857142857144,68.52499999999999,9.750000000000002,198.14285714285714,30.621428571428567,94.85714285714286,17.689285714285706,17.624999999999993,18.67857142857142,18.14999999999999,18.182142857142836,25.278571428571418,50.48928571428571
Decatur County,38329,-88.12345,35.546839,9139.33,9139.33,24.97,12.08,62.96,523.0,0.0,0.0,0.0,93.2,5.1,118.0,43.2,100.0,19.3,18.2,20.7,19.8,19.6,40.0,40.0
Dickson County,37055,-87.40831,36.065779,9378.14,9378.14,36.35,9.45,54.2,1265.0,1.35,0.0,0.05,94.15,2.7,300.0,41.2,99.5,19.35,18.65,20.05,19.94999999999995,19.6,39.3,45.349999999999994
Dyer County,38024,-89.38613,36.038042,9721.18,9721.18,31.61,9.81,58.57,1182.0,0.0,0.3,0.1,96.7,1.5,275.0,49.5,99.0,20.9,19.8999999999999,21.0,20.3999999999999,20.7,45.1,37.5
Dyersburg,38024,-89.38613,36.038042,11016.6,11016.6,33.2,12.63,54.17,723.0,2.4,0.0,0.8,90.0,5.8,190.0,52.6,99.0,20.6,20.6,20.7,20.5,20.8,46.7,43.2
Fentress County,38556,-84.93393,36.409385,9293.13,9293.13,18.76,14.11,67.13,296.0,0.0,0.0,0.0,95.9,1.4,74.0,43.2,99.0,19.5,19.3,19.8,20.5,20.0,45.7,34.2999999999999
Franklin County,37398,-86.14045,35.192829,9700.81,9700.81,33.62,12.7,53.68,1074.0,1.9,0.0,0.15,93.35,4.5,187.0,33.55,96.5,18.8,18.59999999999995,19.75,19.24999999999995,19.3,36.34999999999995,49.45
Milan,38358,-88.76628,35.916722,9412.88,9412.88,34.08,11.03,54.89,637.0,0.0,0.0,0.2,97.9,0.7,146.0,56.2,99.0,19.3999999999999,19.8999999999999,20.3999999999999,20.3,20.2,43.3,39.7
Trenton,38382,-88.95035,35.973431,9328.92,9328.92,69.51,5.36,25.13,395.0,1.5,0.3,0.0,95.5,2.7,110.0,32.7,97.0,19.5,17.5,19.3,18.1,18.8,32.4,52.9
Bradford,38316,-88.81209,36.067294,10040.22,10040.22,24.76,10.62,64.62,273.0,0.7,0.0,0.0,0.0,0.0,38.0,60.5,97.0,21.1,22.2,22.4,20.6,21.8,62.2,29.7
Giles County,38478,-87.01246,35.204983,9592.74,9592.74,33.42,12.08,54.49,736.0,5.95,0.05,0.7,92.94999999999999,5.949999999999999,139.5,37.15,97.5,18.950000000000003,18.700000000000003,19.84999999999995,19.2,19.34999999999995,36.65,48.4
Grainger County,37861,-83.51516,36.243526,9487.06,9487.06,15.93,12.12,71.95,493.3333333333333,0.0,0.0,0.0,63.5,2.4,91.33333333333333,17.599999999999998,85.33333333333333,14.466666666666633,16.333333333333332,16.36666666666663,16.333333333333332,16.0,14.866666666666667,43.9
Greene County,37743,-82.85446,36.102325,9148.74,9148.74,28.88,11.54,59.58,549.0,2.5999999999999996,0.0,1.15,68.85,1.575,130.75,38.55,99.75,18.674999999999976,18.224999999999973,19.299999999999976,19.025,18.95,31.950000000000003,50.7
Greeneville,37744,-82.73948,36.182289,11332.74,11332.74,43.52,9.86,46.62,946.0,3.6,0.0,0.3,97.4,0.9,230.0,61.7,100.0,21.0,21.8,22.6,21.5,21.9,61.2,27.2
Grundy County,37301,-85.77679,35.429018,10067.37,10067.37,13.98,17.65,68.37,669.0,0.1,0.0,0.0,90.6,4.1,171.0,19.3,99.0,16.0,16.5,17.3,17.6,16.8999999999999,16.3,71.9
Hamblen County,37813,-83.27474,36.186008,9075.56,9075.56,37.02,10.53,52.45,1607.5,1.45,0.3,0.30000000000000004,94.35,3.65,391.5,46.45,98.5,19.34999999999995,19.99999999999995,20.4,19.65,20.05,44.199999999999946,42.8
Hamilton County,37421,-85.15939,35.028574,10849.8,10849.8,52.35,10.66,36.99,799.6666666666666,6.5055555555555555,0.5777777777777777,1.1722222222222223,73.71111111111112,6.477777777777778,157.5,38.28333333333334,99.0,19.472222222222214,19.516666666666662,20.805555555555536,20.044444444444437,20.111111111111107,32.844444444444434,38.77222222222221
Hancock County,37869,-83.22818,36.521297,10873.97,10873.97,19.19,13.39,67.42,519.0,3.9,0.2,0.0,97.4,0.0,76.0,25.0,100.0,17.6,16.8,18.2,17.3999999999999,17.7,23.0,62.2
Hardin County,38372,-88.18946,35.180947,9494.58,9494.58,40.38,12.99,46.63,1068.0,0.3,0.0,0.3,95.5,4.1,267.0,36.3,98.0,18.3999999999999,18.3999999999999,19.5,19.2,19.0,36.7,51.8
Hawkins County,37857,-82.96804,36.413437,9991.25,9991.25,30.45,10.77,58.78,1184.5,5.8,0.05,0.8500000000000001,95.6,2.2,251.0,35.2,96.0,18.6,18.65,19.35,18.85,18.950000000000003,34.6,52.45
Haywood County,38012,-89.2609,35.590558,10879.66,10879.66,23.49,15.95,60.56,854.0,0.4,0.0,0.7,92.0,4.9,264.0,22.3,98.0,16.5,16.7,17.5,17.3,17.2,19.2,69.0
Henderson County,38351,-88.40535,35.658409,8922.31,8922.31,23.17,13.41,63.42,719.0,0.65,0.0,0.0,93.15,3.15,163.5,48.65,95.0,20.0,20.85,21.25,20.65,20.85,48.3,35.7
Henry County,38242,-88.32891,36.300311,9868.2,9868.2,37.31,12.78,49.9,1026.0,0.0,0.0,0.4,95.1,2.3,304.0,60.5,100.0,20.1,19.8999999999999,21.5,20.6,20.7,48.4,37.4
Hickman County,37033,-87.49418,35.76714,9897.12,9897.12,17.36,13.04,69.6,515.0,0.0,0.0,1.75,94.4,2.4,125.0,33.349999999999994,98.5,18.34999999999995,18.19999999999995,19.44999999999995,19.0,18.9,34.05,52.25
Houston County,37061,-87.68198,36.301089,9480.49,9480.49,15.6,11.56,72.84,424.0,0.0,0.0,0.0,91.7,5.0,121.0,33.1,97.0,18.6,18.2,18.8999999999999,18.1,18.6,30.6,50.9
Humphreys County,37185,-87.81626,36.085376,8909.44,8909.44,28.76,11.64,59.6,460.0,2.95,0.0,0.0,97.15,0.85,91.5,45.4,99.0,20.49999999999995,18.950000000000003,21.450000000000003,20.0,20.35,46.75,39.75
Jackson County,38562,-85.65757,36.351803,10515.99,10515.99,19.03,13.61,67.35,455.0,0.0,0.0,0.0,95.5,3.6,110.0,32.7,100.0,18.1,18.0,19.3,19.0,18.7,27.6,53.3
Jefferson County,37725,-83.39791,35.996454,8860.66,8860.66,29.26,10.71,60.03,2330.0,2.4,0.2,0.3,95.8,2.2,495.0,48.5,97.0,19.5,19.8999999999999,20.3999999999999,20.2,20.1,46.9,40.4
Johnson County,37683,-81.81906,36.451041,10413.56,10413.56,19.59,16.26,64.15,637.0,0.0,0.0,0.0,96.3,1.5,134.0,26.1,95.0,17.6,17.8999999999999,19.0,18.3,18.3999999999999,28.5,58.5
Knox County,37901,-83.884804,36.032334,9341.65,9341.65,48.77,10.81,40.43,1163.4375,7.86875,0.0,0.43125,74.1,6.012499999999999,256.5625,44.118750000000006,90.625,18.84999999999999,18.38124999999999,19.862499999999994,19.174999999999986,19.199999999999996,43.03749999999999,39.26874999999999
Lake County,38079,-89.50472,36.513386,11716.39,11716.39,18.25,13.72,68.03,217.0,3.7,0.0,0.5,93.5,6.5,46.0,37.0,98.0,19.0,17.5,19.3999999999999,18.0,18.7,33.2999999999999,54.8
Lauderdale County,38063,-89.86859,35.637993,10089.84,10089.84,20.76,15.38,63.85,800.0,8.2,0.0,1.1,97.1,1.1,175.0,32.6,100.0,15.9,16.7,17.3999999999999,17.5,17.0,17.1,69.4
Lawrence County,38464,-87.37522,35.259613,8731.98,8731.98,21.35,12.98,65.67,788.3333333333334,0.9666666666666667,0.0,0.9,97.59999999999998,1.3333333333333333,185.0,39.0,97.66666666666667,18.866666666666667,18.399999999999967,19.466666666666637,19.366666666666667,19.199999999999967,33.9,49.166666666666664
Lewis County,38462,-87.54905,35.535397,9389.77,9389.77,21.83,13.02,65.15,529.0,4.5,0.0,0.2,95.6,4.4,114.0,34.2,97.0,18.7,17.7,20.1,19.3,19.1,34.0,48.1
Lincoln County,37334,-86.57433,35.136177,8713.94,8713.94,26.43,9.68,63.89,1258.0,1.7,0.0,0.0,92.3,4.4,272.0,43.4,99.0,20.3,19.3,20.3,19.7,20.1,45.4,41.8
Fayetteville,37334,-86.57433,35.136177,9948.68,9948.68,27.02,11.65,61.34,413.0,6.1,0.0,0.2,93.8,2.5,81.0,43.2,100.0,20.2,19.2,21.4,20.8,20.6,44.7,42.1
Loudon County,37774,-84.33069,35.725969,9298.47,9298.47,62.83,5.92,31.25,668.0,1.3,0.0,0.45,94.05000000000001,2.6,129.0,40.35,99.0,19.85,19.3,20.0,20.05,19.95,41.699999999999946,43.1
Lenoir City,37771,-84.29301,35.815524,9566.81,9566.81,45.29,12.04,42.66,1305.0,3.1,0.1,1.3,93.0,4.8,273.0,44.7,98.0,19.0,19.8,20.5,20.0,20.0,39.6,43.6
Macon County,37083,-86.01497,36.537994,8848.42,8848.42,17.69,12.71,69.6,630.0,1.6500000000000001,0.05,0.85,90.7,5.550000000000001,137.5,38.0,96.5,19.1,18.9,19.5,18.99999999999995,19.24999999999995,34.55,53.15
Madison County,38305,-88.80653,35.693101,9835.33,9835.33,40.33,15.42,44.26,738.4,9.7,0.0,1.3599999999999999,51.120000000000005,5.279999999999999,175.2,28.579999999999995,100.0,18.53999999999998,18.15999999999998,19.62,18.96,18.98,17.01999999999998,53.37999999999998
Marion County,37347,-85.61818,35.065007,8912.14,8912.14,29.04,13.85,57.11,459.0,0.2333333333333333,0.0,0.7666666666666666,90.2,7.466666666666666,93.66666666666667,46.43333333333334,99.33333333333333,19.266666666666598,18.966666666666633,19.833333333333332,19.733333333333334,19.633333333333333,39.599999999999994,43.89999999999997
Richard City,37380,-85.72513,35.045886,8244.7,8244.7,54.58,6.29,39.13,302.0,0.0,0.0,0.0,90.9,4.5,22.0,40.9,95.0,19.3,19.2,19.8999999999999,20.6,19.8999999999999,36.7999999999999,47.4
Marshall County,37091,-86.7792,35.461359,8884.31,8884.31,29.96,8.91,61.12,720.0,3.1666666666666665,0.03333333333333333,0.8000000000000002,95.33333333333333,3.0666666666666664,138.66666666666666,50.133333333333326,100.0,20.53333333333333,20.233333333333334,21.0,21.033333333333335,20.866666666666635,51.13333333333333,33.6
Maury County,38401,-87.03565,35.619784,9217.96,9217.96,39.31,9.75,50.93,863.0,3.1666666666666665,0.0,0.45,90.33333333333333,6.366666666666667,145.16666666666666,40.35,99.0,19.366666666666664,19.066666666666666,19.9333333333333,19.299999999999983,19.549999999999965,38.58333333333332,45.21666666666666
Meigs County,37322,-84.80741,35.503723,9834.31,9834.31,16.84,14.31,68.85,550.0,0.0,0.0,0.7,98.4,0.0,124.0,60.5,99.0,20.3,19.3,21.0,20.0,20.3,46.3,43.0
Monroe County,37354,-84.35738,35.506259,9379.75,9379.75,26.54,12.77,60.68,573.5,4.4,0.0,0.0,94.6,3.6999999999999997,143.0,42.05,100.0,18.549999999999947,19.05,19.55,18.99999999999995,19.200000000000003,36.34999999999995,50.75
Montgomery County,37040,-87.34142,36.528448,9582.93,9582.93,34.76,9.53,55.7,1344.5,4.925000000000001,0.5249999999999999,0.6375000000000001,82.39999999999999,2.3124999999999996,299.0,35.75,95.75,19.924999999999986,19.687499999999975,21.275,20.6875,20.5375,35.2625,40.374999999999986
Moore County,37352,-86.35264,35.276795,11321.87,11321.87,39.65,8.54,51.81,463.0,0.0,0.2,0.2,95.7,1.4,70.0,57.1,99.0,22.0,21.1,21.6,21.3,21.7,59.1,27.3
Morgan County,37887,-84.56863,36.091018,9919.61,9919.61,15.0,17.39,67.61,381.0,0.0,0.0,0.0,0.0,0.0,38.0,26.199999999999996,88.5,16.925,17.375,17.724999999999973,16.874999999999975,17.324999999999974,20.075000000000003,41.824999999999974
Obion County,38261,-89.0727,36.426933,9522.49,9522.49,29.46,10.58,59.96,614.0,3.65,0.1,0.1,88.05,10.7,120.0,50.25,98.5,20.549999999999997,19.8,21.15,20.6,20.75,48.34999999999995,36.0
Union City,38281,-89.149881,36.354384,10165.48,10165.48,50.51,9.4,40.08,438.0,2.3,0.0,0.0,91.6,7.6,119.0,56.3,97.0,23.3,22.2,22.6,22.5,22.8,61.3,33.0
Overton County,38570,-85.32585,36.376289,8515.79,8515.79,20.39,12.98,66.63,988.0,0.0,0.0,0.2,92.4,5.4,223.0,42.6,97.0,18.3,18.6,19.2,18.3,18.7,34.0,49.5
Perry County,37096,-87.87486,35.61432,10818.3,10818.3,22.17,16.83,61.0,329.0,4.3,0.0,1.8,95.7,1.4,69.0,53.6,100.0,16.2,16.8999999999999,18.0,17.7,17.3,18.2,68.2
Pickett County,38549,-85.15007,36.572543,10500.27,10500.27,21.66,14.17,64.17,209.0,0.0,0.0,0.0,95.1,2.4,41.0,43.9,100.0,21.0,19.3,20.6,20.2,20.3999999999999,46.2,33.2999999999999
Polk County,37307,-84.63913,35.172376,9651.73,9651.73,20.44,14.38,65.18,420.0,0.7,0.0,0.0,93.25,2.55,90.5,36.7,97.5,18.85,18.59999999999995,20.05,19.09999999999995,19.200000000000003,38.699999999999946,50.35
Putnam County,38506,-85.46238,36.177831,8958.7,8958.7,33.92,12.76,53.31,1262.0,2.3666666666666667,0.06666666666666667,0.3333333333333333,93.10000000000001,5.5,274.0,37.0,97.33333333333333,18.8,19.166666666666668,20.399999999999967,19.76666666666667,19.7,39.3,47.199999999999996
Rhea County,37321,-85.01032,35.495894,9528.16,9528.16,26.51,13.06,60.43,1565.0,0.2,0.0,0.1,92.3,5.4,349.0,33.0,99.0,18.6,19.0,19.6,19.3999999999999,19.3,35.5,49.4
Roane County,37763,-84.50562,35.839274,9855.51,9855.51,40.59,10.03,49.39,348.6666666666667,0.049999999999999996,0.08333333333333333,0.3,74.2,7.1499999999999995,84.83333333333333,42.38333333333333,99.66666666666667,18.299999999999983,18.449999999999985,19.599999999999984,19.183333333333334,19.05,34.666666666666664,52.166666666666664
Robertson County,37172,-86.86892,36.513979,8456.65,8456.65,28.67,9.41,61.92,674.0,1.957142857142857,0.0,0.2285714285714286,76.78571428571429,2.857142857142857,113.42857142857143,29.17142857142857,81.57142857142857,15.171428571428544,15.971428571428545,16.34285714285713,16.385714285714272,16.1,27.671428571428574,33.614285714285714
Rutherford County,37128,-86.4455,35.813319,9201.44,9201.44,41.41,6.18,52.4,1665.5,0.77,0.0,0.12,74.66,2.71,392.1,37.39,98.4,20.740000000000002,20.10999999999999,21.289999999999978,20.8,20.89999999999999,36.13,40.90999999999999
Scott County,37756,-84.42137,36.351978,9255.45,9255.45,13.97,15.01,71.02,911.0,2.2,0.2,0.2,92.3,4.6,195.0,33.3,99.0,18.3,17.8999999999999,19.3999999999999,18.3,18.6,32.4,54.7
Oneida,37841,-84.51808,36.49787,9767.74,9767.74,18.52,19.65,61.84,427.0,0.0,0.0,0.0,0.0,0.0,85.0,41.2,95.0,18.3999999999999,19.1,19.8999999999999,20.0,19.5,42.0,42.0
Sequatchie County,37327,-85.38755,35.399109,8605.32,8605.32,23.92,13.17,62.91,725.0,0.0,0.0,1.0,89.5,4.7,171.0,32.7,99.0,18.3999999999999,18.3999999999999,19.7,19.3,19.1,36.2,49.3
Sevier County,37862,-83.59197,35.818653,10556.71,10556.71,65.55,8.2,26.26,682.6666666666666,0.8999999999999999,0.0,0.26666666666666666,73.96666666666665,6.866666666666666,180.66666666666666,39.85,94.83333333333333,19.483333333333317,19.29999999999998,20.35,19.61666666666665,19.866666666666653,40.33333333333332,46.81666666666667
Shelby County,38112,-89.97479,35.148605,11167.6,11167.6,42.78,12.82,44.4,848.7179487179487,10.294871794871794,0.7512820512820513,1.0,74.95897435897436,13.602564102564102,195.12820512820514,18.210256410256402,96.46153846153847,15.305128205128195,16.348717948717933,16.712820512820496,16.28717948717948,16.330769230769217,14.433333333333335,54.77435897435898
Arlington,38002,-89.71198,35.272386,8881.33,8881.33,48.95,4.91,46.14,2140.0,1.5,0.0,0.4,97.3,1.8,512.0,63.3,99.0,22.6,21.4,23.9,22.4,22.8,64.8,22.6
Bartlett,38134,-89.86559,35.193046,9806.37,9806.37,47.85,7.21,44.94,2872.0,6.9,0.4,0.8,98.0,0.5,605.0,58.0,100.0,21.5,20.5,22.0,21.2,21.5,53.7,30.6
Collierville,38017,-89.67417,35.057224,10073.97,10073.97,49.72,6.15,44.13,2860.0,1.9,0.5,0.2,95.1,1.2,647.0,75.6,100.0,25.3,23.6,25.3,24.0,24.7,78.3,14.5
Germantown,38138,-89.80677,35.088885,9366.84,9366.84,56.69,4.0,39.3,1966.0,2.4,0.0,0.3,95.4,2.1,433.0,82.4,100.0,27.0,24.9,27.2,25.6,26.3,86.2,6.5
Smith County,37030,-85.94893,36.264959,9102.0,9102.0,22.73,12.52,64.75,546.0,2.1500000000000004,0.15,0.2,93.95,3.95,122.5,35.05,97.0,18.44999999999995,18.69999999999995,20.35,19.59999999999995,19.450000000000003,37.5,47.9
Stewart County,37058,-87.85877,36.477136,9426.19,9426.19,20.78,12.46,66.76,694.0,0.0,0.0,0.0,95.5,0.6,179.0,48.6,100.0,19.2,19.7,20.5,20.0,19.8999999999999,48.5,43.3
Sullivan County,37617,-82.37229,36.534729,9641.31,9641.31,44.05,10.53,45.42,755.25,2.8249999999999997,0.675,0.925,70.35,2.725,188.0,42.0,98.0,19.375,19.449999999999974,20.450000000000003,20.2,20.05,42.8,43.89999999999998
Bristol,37620,-82.16869,36.561341,10681.28,10681.28,50.97,8.47,40.55,680.0,2.55,0.0,0.25,95.30000000000001,3.5,174.0,51.650000000000006,96.5,21.75,19.9,22.25,20.950000000000003,21.4,55.4,25.69999999999995
Kingsport,37660,-82.55408,36.547133,10966.15,10966.15,53.0,8.98,38.02,2441.0,4.5,0.0,0.8,94.1,2.8,539.0,59.9,98.0,21.3,21.7,22.2,21.8,21.9,56.9,31.8
Sumner County,37066,-86.4548,36.388997,9177.85,9177.85,39.59,7.14,53.27,984.0,1.98,0.0,0.1,76.02,2.21,213.1,35.22,98.1,21.969999999999995,20.899999999999974,22.919999999999998,21.80999999999999,22.04999999999999,36.36999999999999,31.00999999999999
Tipton County,38019,-89.64201,35.560622,8595.62,8595.62,20.55,9.77,69.69,1113.3333333333333,3.5999999999999996,0.0,0.20000000000000004,95.60000000000001,1.9000000000000001,269.3333333333333,47.699999999999996,96.33333333333333,20.566666666666666,19.666666666666668,20.466666666666633,20.166666666666632,20.333333333333332,46.26666666666667,40.166666666666664
Trousdale County,37074,-86.15305,36.407653,9270.95,9270.95,22.04,11.9,66.06,380.0,0.8,0.3,0.3,98.9,0.0,90.0,60.0,98.0,20.6,20.2,21.1,21.2,21.0,40.2,40.2
Unicoi County,37650,-82.4273,36.128301,10045.1,10045.1,21.06,15.41,63.53,814.0,1.5,0.0,0.2,91.7,3.9,205.0,36.6,95.0,19.3,19.3,20.2,19.5,19.7,39.9,46.6
Union County,37807,-83.82558,36.251265,7880.11,7880.11,11.76,11.4,76.83,894.0,1.6,0.3,0.2,93.0,1.5,201.0,19.4,99.0,15.8,16.8,17.2,17.2,16.8999999999999,20.5,69.2
Van Buren County,38585,-85.41146,35.69653,11711.83,11711.83,20.28,11.83,67.9,433.0,0.0,0.0,0.0,96.7,3.3,60.0,40.0,100.0,17.7,18.5,19.8999999999999,19.0,18.8999999999999,34.5,44.8
Warren County,37110,-85.787,35.687286,9377.83,9377.83,30.53,12.19,57.28,1991.0,1.8,0.0,0.3,90.6,6.3,459.0,35.1,100.0,18.1,18.0,18.8999999999999,19.0,18.7,29.9,54.5
Washington County,37659,-82.49704,36.293805,8705.16,8705.16,43.91,8.7,47.39,802.5,0.05,0.0,0.1,69.775,4.35,187.75,27.175,73.75,16.625,16.049999999999997,16.825000000000003,16.55,16.62499999999997,19.975,22.5
Johnson City,37605,-82.383792,36.315795,10136.04,10136.04,54.6,7.56,37.84,2392.0,4.4,0.2,0.2,92.1,3.6,529.0,56.7,97.0,22.4,22.2,23.4,22.4,22.7,62.2,26.5
Wayne County,38485,-87.75739,35.343716,10070.78,10070.78,14.62,14.38,71.0,301.0,0.0,0.09999999999999999,0.2333333333333333,62.333333333333336,1.3333333333333333,58.666666666666664,30.099999999999998,96.66666666666667,17.400000000000002,17.299999999999933,18.666666666666632,17.9333333333333,18.03333333333333,25.96666666666667,55.5
Weakley County,38225,-88.6869,36.305305,9157.49,9157.49,23.85,13.13,63.01,464.5,0.95,0.0,0.125,90.025,5.050000000000001,79.75,52.325,98.25,20.849999999999973,20.24999999999995,21.6,21.375,21.15,53.55,30.749999999999975
White County,38583,-85.45113,35.943026,8995.1,8995.1,19.44,14.5,66.06,1215.0,0.2,0.1,0.2,96.8,1.1,277.0,46.2,99.0,19.2,19.6,20.1,19.7,19.8,40.6,44.0
Williamson County,37064,-86.89919,35.893823,9736.67,9736.67,69.25,2.82,27.93,1391.3,0.02,0.0,0.55,96.57000000000001,1.4899999999999998,321.0,76.92999999999999,100.0,25.130000000000003,23.85,25.72,24.459999999999997,24.96,51.33999999999999,10.73
Wilson County,37087,-86.29271,36.240331,8348.47,8348.47,64.8,3.44,31.76,1752.0,6.3500000000000005,0.175,0.75,96.05,2.425,411.25,45.7,99.25,20.349999999999973,19.524999999999974,21.075000000000003,20.874999999999975,20.624999999999975,46.37499999999997,38.199999999999996
